scan,prDM,t068C,c0S_m,sbeox0V,flCUVA,sbeox0ML_L,sal00,sigma_t00,svCM,avgsvCM,flag
434, -3, 22.5007, 5.104841, 2.7963, 0.1379, 4.69119, 35.4487, 24.4187, 1528.70, 1528.70, 0.0000e+00
627, -4, 22.5568, 5.110252, 2.8011, 0.1507, 4.69733, 35.4450, 24.3999, 1528.85, 1528.74, 0.0000e+00
678, -5, 22.6187, 5.117322, 2.8038, 0.1437, 4.69857, 35.4494, 24.3856, 1529.03, 1528.79, 0.0000e+00
701, -6, 22.5102, 5.105867, 2.8066, 0.1410, 4.71328, 35.4480, 24.4155, 1528.77, 1528.79, 0.0000e+00
721, -7, 22.4668, 5.101129, 2.8063, 0.1324, 4.71680, 35.4459, 24.4263, 1528.67, 1528.77, 0.0000e+00
741, -8, 22.4429, 5.098692, 2.8005, 0.1379, 4.70746, 35.4460, 24.4331, 1528.63, 1528.76, 0.0000e+00
769, -9, 22.3825, 5.092541, 2.7973, 0.1571, 4.70611, 35.4467, 24.4508, 1528.49, 1528.73, 0.0000e+00
806, -10, 22.3506, 5.089133, 2.7966, 0.2135, 4.70779, 35.4457, 24.4591, 1528.42, 1528.70, 0.0000e+00
845, -11, 22.3373, 5.087708, 2.7892, 0.2412, 4.69426, 35.4451, 24.4624, 1528.40, 1528.67, 0.0000e+00
876, -12, 22.3077, 5.084658, 2.7845, 0.2441, 4.68750, 35.4450, 24.4707, 1528.34, 1528.64, 0.0000e+00
903, -13, 22.3096, 5.084864, 2.7798, 0.2449, 4.67844, 35.4447, 24.4699, 1528.36, 1528.62, 0.0000e+00
926, -14, 22.2986, 5.083872, 2.7760, 0.2468, 4.67195, 35.4455, 24.4737, 1528.35, 1528.60, 0.0000e+00
945, -15, 22.2742, 5.081397, 2.7725, 0.2658, 4.66727, 35.4457, 24.4807, 1528.31, 1528.58, 0.0000e+00
963, -16, 22.2461, 5.078440, 2.7697, 0.2772, 4.66432, 35.4451, 24.4882, 1528.25, 1528.56, 0.0000e+00
983, -17, 22.2270, 5.076484, 2.7664, 0.2920, 4.65964, 35.4450, 24.4935, 1528.22, 1528.54, 0.0000e+00
1012, -18, 22.2113, 5.074815, 2.7618, 0.3040, 4.65197, 35.4444, 24.4975, 1528.19, 1528.52, 0.0000e+00
1054, -19, 22.2067, 5.074336, 2.7503, 0.3092, 4.62932, 35.4440, 24.4985, 1528.20, 1528.50, 0.0000e+00
1088, -20, 22.2034, 5.074060, 2.7429, 0.3117, 4.61485, 35.4442, 24.4996, 1528.20, 1528.49, 0.0000e+00
1112, -21, 22.1803, 5.071746, 2.7413, 0.3292, 4.61396, 35.4445, 24.5064, 1528.16, 1528.47, 0.0000e+00
1133, -22, 22.1686, 5.070558, 2.7387, 0.3423, 4.61006, 35.4444, 24.5096, 1528.15, 1528.46, 0.0000e+00
1155, -23, 22.1480, 5.068389, 2.7313, 0.3417, 4.59708, 35.4439, 24.5150, 1528.11, 1528.44, 0.0000e+00
1176, -24, 22.1463, 5.068224, 2.7267, 0.3395, 4.58835, 35.4436, 24.5153, 1528.12, 1528.43, 0.0000e+00
1198, -25, 22.1449, 5.068093, 2.7201, 0.3851, 4.57546, 35.4434, 24.5155, 1528.13, 1528.42, 0.0000e+00
1224, -26, 22.1389, 5.067466, 2.7139, 0.3943, 4.56370, 35.4430, 24.5169, 1528.14, 1528.41, 0.0000e+00
1252, -27, 22.1327, 5.066835, 2.7057, 0.3699, 4.54779, 35.4428, 24.5185, 1528.14, 1528.40, 0.0000e+00
1280, -28, 22.1365, 5.067303, 2.6992, 0.3465, 4.53476, 35.4430, 24.5176, 1528.16, 1528.39, 0.0000e+00
1311, -29, 22.1354, 5.067234, 2.6955, 0.3084, 4.52784, 35.4430, 24.5179, 1528.18, 1528.38, 0.0000e+00
1346, -30, 22.1364, 5.067371, 2.6905, 0.3177, 4.51808, 35.4429, 24.5176, 1528.20, 1528.38, 0.0000e+00
1376, -31, 22.1368, 5.067494, 2.6891, 0.3266, 4.51567, 35.4432, 24.5177, 1528.21, 1528.37, 0.0000e+00
1397, -32, 22.1309, 5.066926, 2.6874, 0.3429, 4.51328, 35.4433, 24.5193, 1528.22, 1528.37, 0.0000e+00
1414, -33, 22.1251, 5.066330, 2.6861, 0.3404, 4.51162, 35.4430, 24.5208, 1528.22, 1528.36, 0.0000e+00
1430, -34, 22.1195, 5.065733, 2.6827, 0.3258, 4.50572, 35.4425, 24.5220, 1528.22, 1528.36, 0.0000e+00
1448, -35, 22.1213, 5.065957, 2.6791, 0.3178, 4.49865, 35.4424, 24.5214, 1528.24, 1528.35, 0.0000e+00
1471, -36, 22.1243, 5.066345, 2.6743, 0.2931, 4.48919, 35.4427, 24.5208, 1528.26, 1528.35, 0.0000e+00
1511, -37, 22.1186, 5.065791, 2.6697, 0.2720, 4.48065, 35.4427, 24.5224, 1528.27, 1528.35, 0.0000e+00
1557, -38, 22.1168, 5.065600, 2.6686, 0.2680, 4.47921, 35.4423, 24.5226, 1528.28, 1528.35, 0.0000e+00
1587, -39, 22.1124, 5.065181, 2.6665, 0.2730, 4.47572, 35.4422, 24.5238, 1528.28, 1528.34, 0.0000e+00
1609, -40, 22.1136, 5.065344, 2.6664, 0.2752, 4.47609, 35.4422, 24.5234, 1528.30, 1528.34, 0.0000e+00
1628, -41, 22.1113, 5.065127, 2.6627, 0.2567, 4.46911, 35.4420, 24.5239, 1528.31, 1528.34, 0.0000e+00
1647, -42, 22.1111, 5.065141, 2.6602, 0.2498, 4.46457, 35.4420, 24.5239, 1528.33, 1528.34, 0.0000e+00
1665, -43, 22.1104, 5.065123, 2.6589, 0.2508, 4.46263, 35.4421, 24.5242, 1528.34, 1528.34, 0.0000e+00
1684, -44, 22.1109, 5.065244, 2.6563, 0.2726, 4.45762, 35.4423, 24.5242, 1528.36, 1528.34, 0.0000e+00
1705, -45, 22.1148, 5.065711, 2.6545, 0.2703, 4.45430, 35.4424, 24.5232, 1528.39, 1528.34, 0.0000e+00
1731, -46, 22.1159, 5.065887, 2.6555, 0.2663, 4.45680, 35.4425, 24.5230, 1528.41, 1528.35, 0.0000e+00
1766, -47, 22.1157, 5.065917, 2.6547, 0.2667, 4.45588, 35.4426, 24.5231, 1528.43, 1528.35, 0.0000e+00
1807, -48, 22.1150, 5.065867, 2.6588, 0.2852, 4.46501, 35.4424, 24.5232, 1528.44, 1528.35, 0.0000e+00
1837, -49, 22.1168, 5.066111, 2.6608, 0.2808, 4.46970, 35.4425, 24.5228, 1528.46, 1528.35, 0.0000e+00
1860, -50, 22.1164, 5.066110, 2.6598, 0.2908, 4.46807, 35.4425, 24.5229, 1528.48, 1528.35, 0.0000e+00
1881, -51, 22.1162, 5.066129, 2.6584, 0.3039, 4.46593, 35.4425, 24.5229, 1528.49, 1528.36, 0.0000e+00
1902, -52, 22.1155, 5.066114, 2.6572, 0.2903, 4.46409, 35.4426, 24.5232, 1528.51, 1528.36, 0.0000e+00
1922, -53, 22.1146, 5.066043, 2.6551, 0.2853, 4.46030, 35.4424, 24.5233, 1528.52, 1528.36, 0.0000e+00
1945, -54, 22.1140, 5.066011, 2.6567, 0.2750, 4.46442, 35.4423, 24.5234, 1528.54, 1528.37, 0.0000e+00
1970, -55, 22.1088, 5.065494, 2.6551, 0.2757, 4.46192, 35.4422, 24.5247, 1528.54, 1528.37, 0.0000e+00
1998, -56, 22.1106, 5.065646, 2.6534, 0.2853, 4.45887, 35.4415, 24.5238, 1528.56, 1528.37, 0.0000e+00
2023, -57, 22.1161, 5.066388, 2.6541, 0.2699, 4.46054, 35.4425, 24.5230, 1528.59, 1528.38, 0.0000e+00
2048, -58, 22.1024, 5.064844, 2.6510, 0.2752, 4.45579, 35.4412, 24.5258, 1528.57, 1528.38, 0.0000e+00
2074, -59, 22.0725, 5.061435, 2.6538, 0.2536, 4.46450, 35.4385, 24.5322, 1528.51, 1528.38, 0.0000e+00
2106, -60, 22.0616, 5.060167, 2.6519, 0.2519, 4.46189, 35.4371, 24.5342, 1528.50, 1528.38, 0.0000e+00
2137, -61, 22.0412, 5.058187, 2.6403, 0.2215, 4.44005, 35.4379, 24.5405, 1528.46, 1528.39, 0.0000e+00
2163, -62, 22.0172, 5.055765, 2.6308, 0.2085, 4.42247, 35.4381, 24.5474, 1528.41, 1528.39, 0.0000e+00
2188, -63, 22.0016, 5.054329, 2.6233, 0.1960, 4.40874, 35.4392, 24.5526, 1528.39, 1528.39, 0.0000e+00
2213, -64, 21.9988, 5.054086, 2.6199, 0.1958, 4.40240, 35.4392, 24.5534, 1528.40, 1528.39, 0.0000e+00
2235, -65, 21.9975, 5.054042, 2.6156, 0.2033, 4.39410, 35.4396, 24.5541, 1528.41, 1528.39, 0.0000e+00
2257, -66, 21.9969, 5.054022, 2.6120, 0.2012, 4.38729, 35.4396, 24.5542, 1528.43, 1528.39, 0.0000e+00
2280, -67, 21.9948, 5.053858, 2.6096, 0.1972, 4.38312, 35.4397, 24.5549, 1528.44, 1528.39, 0.0000e+00
2305, -68, 21.9939, 5.053799, 2.6063, 0.1968, 4.37680, 35.4396, 24.5551, 1528.45, 1528.39, 0.0000e+00
2333, -69, 21.9875, 5.053203, 2.6056, 0.2074, 4.37633, 35.4398, 24.5570, 1528.45, 1528.39, 0.0000e+00
2361, -70, 21.9864, 5.053122, 2.6052, 0.1953, 4.37619, 35.4397, 24.5573, 1528.47, 1528.39, 0.0000e+00
2389, -71, 21.9853, 5.053055, 2.6047, 0.1848, 4.37587, 35.4397, 24.5576, 1528.48, 1528.39, 0.0000e+00
2414, -72, 21.9824, 5.052488, 2.6006, 0.1829, 4.36813, 35.4373, 24.5566, 1528.49, 1528.39, 0.0000e+00
2439, -73, 21.9713, 5.051774, 2.6000, 0.1826, 4.36817, 35.4404, 24.5621, 1528.48, 1528.39, 0.0000e+00
2464, -74, 21.9723, 5.051880, 2.5972, 0.1837, 4.36286, 35.4401, 24.5615, 1528.50, 1528.40, 0.0000e+00
2489, -75, 21.9679, 5.051522, 2.5948, 0.1934, 4.35880, 35.4405, 24.5631, 1528.50, 1528.40, 0.0000e+00
2514, -76, 21.9648, 5.051233, 2.5928, 0.1908, 4.35550, 35.4404, 24.5639, 1528.51, 1528.40, 0.0000e+00
2544, -77, 21.9637, 5.051204, 2.5934, 0.1894, 4.35746, 35.4408, 24.5645, 1528.53, 1528.40, 0.0000e+00
2577, -78, 21.9535, 5.050347, 2.5927, 0.1889, 4.35717, 35.4420, 24.5683, 1528.52, 1528.40, 0.0000e+00
